symbol,company_name,expiration_date,current_stock_price,target_percent_of_current_price,calculated_90_percent_price,selected_put_strike,bid,ask,midpoint_premium,midpoint_formula,last_price,volume,open_interest,quote_timestamp,status,message
A,"Agilent Technologies, Inc.",2026-05-29,,90.0,,,,,,(bid + ask) / 2,,,,,no_option_chain,No put option chain returned for selected expiration.
AAPL,AAPL,2026-05-29,312.51,90.0,281.259,280.0,0.0,0.02,0.01,(bid + ask) / 2,0.01,78.0,4657.0,2026-05-28 15:59:59,ok,
ABBV,ABBV,2026-05-29,218.63,90.0,196.767,195.0,0.0,0.01,0.005,(bid + ask) / 2,0.01,5.0,173.0,2026-05-28 10:17:28,ok,
ABNB,ABNB,2026-05-29,134.5,90.0,121.05,121.0,0.0,0.03,0.015,(bid + ask) / 2,0.02,15.0,49.0,2026-05-28 15:58:16,ok,
ABT,ABT,2026-05-29,86.3,90.0,77.67,77.0,0.0,1.25,0.625,(bid + ask) / 2,0.05,,28.0,2026-05-28 15:59:58,ok,
ACGL,ACGL,2026-05-29,,90.0,,,,,,(bid + ask) / 2,,,,,no_option_chain,No put option chain returned for selected expiration.
ACN,Accenture plc,2026-05-29,178.4,90.0,160.56,160.0,0.0,0.25,0.125,(bid + ask) / 2,0.05,6.0,975.0,2026-05-28 16:00:04,ok,
ADBE,Adobe Inc.,2026-05-29,241.44,90.0,217.296,215.0,0.01,0.3,0.155,(bid + ask) / 2,0.01,240.0,386.0,2026-05-28 15:59:59,ok,
ADI,"Analog Devices, Inc.",2026-05-29,419.01,90.0,377.109,375.0,0.0,1.1,0.55,(bid + ask) / 2,0.06,4.0,60.0,2026-05-28 16:00:03,ok,
ADM,ADM,2026-05-29,,90.0,,,,,,(bid + ask) / 2,,,,,no_option_chain,No put option chain returned for selected expiration.
ADP,ADP,2026-05-29,219.86,90.0,197.87400000000002,197.5,0.0,1.4,0.7,(bid + ask) / 2,0.0,,0.0,2026-05-28 15:59:59,ok,
